date,location_id,location_level,location_name,case_status,case_definition,temporal_resolution,dengue_total
2013-11-30 00:00:00+00:00,ID,national,INDONESIA,not-classified,Total,Month,4870.0
2013-12-31 00:00:00+00:00,ID,national,INDONESIA,not-classified,Total,Month,4706.0
2014-01-31 00:00:00+00:00,ID,national,INDONESIA,not-classified,Total,Month,9445.0
2014-02-28 00:00:00+00:00,ID,national,INDONESIA,not-classified,Total,Month,9410.0
2014-03-31 00:00:00+00:00,ID,national,INDONESIA,not-classified,Total,Month,8675.0
2014-04-30 00:00:00+00:00,ID,national,INDONESIA,not-classified,Total,Month,9088.0
2014-05-31 00:00:00+00:00,ID,national,INDONESIA,not-classified,Total,Month,8896.0
2014-06-30 00:00:00+00:00,ID,national,INDONESIA,not-classified,Total,Month,8353.0
2014-07-31 00:00:00+00:00,ID,national,INDONESIA,not-classified,Total,Month,7360.0
2014-08-31 00:00:00+00:00,ID,national,INDONESIA,not-classified,Total,Month,7604.0
2014-09-30 00:00:00+00:00,ID,national,INDONESIA,not-classified,Total,Month,7634.0
2014-10-31 00:00:00+00:00,ID,national,INDONESIA,not-classified,Total,Month,8149.0
2014-11-30 00:00:00+00:00,ID,national,INDONESIA,not-classified,Total,Month,7877.0
2014-12-31 00:00:00+00:00,ID,national,INDONESIA,not-classified,Total,Month,7856.0
2015-01-31 00:00:00+00:00,ID,national,INDONESIA,not-classified,Total,Month,21267.0
2015-02-28 00:00:00+00:00,ID,national,INDONESIA,not-classified,Total,Month,20164.0
2015-03-31 00:00:00+00:00,ID,national,INDONESIA,not-classified,Total,Month,14884.0
2015-04-30 00:00:00+00:00,ID,national,INDONESIA,not-classified,Total,Month,13664.0
2015-05-31 00:00:00+00:00,ID,national,INDONESIA,not-classified,Total,Month,11796.0
2015-06-30 00:00:00+00:00,ID,national,INDONESIA,not-classified,Total,Month,10007.0
2015-07-31 00:00:00+00:00,ID,national,INDONESIA,not-classified,Total,Month,7200.0
2015-08-31 00:00:00+00:00,ID,national,INDONESIA,not-classified,Total,Month,5501.0
2015-09-30 00:00:00+00:00,ID,national,INDONESIA,not-classified,Total,Month,4855.0
2015-10-31 00:00:00+00:00,ID,national,INDONESIA,not-classified,Total,Month,5221.0
2015-11-30 00:00:00+00:00,ID,national,INDONESIA,not-classified,Total,Month,6803.0
2015-12-31 00:00:00+00:00,ID,national,INDONESIA,not-classified,Total,Month,8327.0
2016-01-31 00:00:00+00:00,ID,national,INDONESIA,not-classified,Total,Month,29672.0
2016-02-29 00:00:00+00:00,ID,national,INDONESIA,not-classified,Total,Month,32117.0
2016-03-31 00:00:00+00:00,ID,national,INDONESIA,not-classified,Total,Month,27005.0
2016-04-30 00:00:00+00:00,ID,national,INDONESIA,not-classified,Total,Month,24239.0
2016-05-31 00:00:00+00:00,ID,national,INDONESIA,not-classified,Total,Month,19075.0
2016-06-30 00:00:00+00:00,ID,national,INDONESIA,not-classified,Total,Month,15183.0
2016-07-31 00:00:00+00:00,ID,national,INDONESIA,not-classified,Total,Month,12005.0
2016-08-31 00:00:00+00:00,ID,national,INDONESIA,not-classified,Total,Month,11342.0
2016-09-30 00:00:00+00:00,ID,national,INDONESIA,not-classified,Total,Month,9277.0
2016-10-31 00:00:00+00:00,ID,national,INDONESIA,not-classified,Total,Month,8855.0
2016-11-30 00:00:00+00:00,ID,national,INDONESIA,not-classified,Total,Month,8669.0
2016-12-31 00:00:00+00:00,ID,national,INDONESIA,not-classified,Total,Month,6733.0
2019-01-31 00:00:00+00:00,ID,national,INDONESIA,not-classified,Total,Month,27445.0
2019-02-28 00:00:00+00:00,ID,national,INDONESIA,not-classified,Total,Month,24018.0
2019-03-31 00:00:00+00:00,ID,national,INDONESIA,not-classified,Total,Month,18110.0
2019-04-30 00:00:00+00:00,ID,national,INDONESIA,not-classified,Total,Month,13642.0
2019-05-31 00:00:00+00:00,ID,national,INDONESIA,not-classified,Total,Month,12556.0
2019-06-30 00:00:00+00:00,ID,national,INDONESIA,not-classified,Total,Month,9514.0
2019-07-31 00:00:00+00:00,ID,national,INDONESIA,not-classified,Total,Month,7738.0
2019-08-31 00:00:00+00:00,ID,national,INDONESIA,not-classified,Total,Month,5386.0
2019-09-30 00:00:00+00:00,ID,national,INDONESIA,not-classified,Total,Month,4154.0
2019-10-31 00:00:00+00:00,ID,national,INDONESIA,not-classified,Total,Month,4376.0
2019-11-30 00:00:00+00:00,ID,national,INDONESIA,not-classified,Total,Month,5425.0
2019-12-31 00:00:00+00:00,ID,national,INDONESIA,not-classified,Total,Month,5767.0
2020-01-31 00:00:00+00:00,ID,national,INDONESIA,not-classified,Total,Month,15950.0
2020-02-29 00:00:00+00:00,ID,national,INDONESIA,not-classified,Total,Month,19693.0
2020-03-31 00:00:00+00:00,ID,national,INDONESIA,not-classified,Total,Month,19366.0
2020-04-30 00:00:00+00:00,ID,national,INDONESIA,not-classified,Total,Month,13160.0
2020-05-31 00:00:00+00:00,ID,national,INDONESIA,not-classified,Total,Month,10725.0
2020-06-30 00:00:00+00:00,ID,national,INDONESIA,not-classified,Total,Month,8106.0
2020-07-31 00:00:00+00:00,ID,national,INDONESIA,not-classified,Total,Month,6329.0
2020-08-31 00:00:00+00:00,ID,national,INDONESIA,not-classified,Total,Month,3833.0
