region,n,n_provinces,mae,rmse,bias,fp_rate,fn_rate
Bali-Nusa,30,3,0.020610358043222723,0.027972141993829067,-0.013348462914952416,0.3333333333333333,0.0
Jawa,60,6,0.02689376071335017,0.044814920243272396,-0.019696253558060588,0.08333333333333333,0.0
Kalimantan,50,5,0.05546312868623592,0.07492139150161281,-0.04932851257614515,0.52,0.0
Maluku-Papua,77,8,0.09787996102362526,0.11899092773159942,-0.08432856603265203,0.2077922077922078,0.0
Sulawesi,60,6,0.012503643366841174,0.0172850228001253,-0.001095127513010699,0.1,0.016666666666666666
Sumatra,100,10,0.023020366617249075,0.033247731526836535,-0.018247908872130597,0.28,0.01
