region,province_count,top10_count,top10_share,avg_priority_score,avg_deficit_score
Maluku-Papua,8,7,0.875,0.19644442407956425,0.11470156450084423
Kalimantan,5,1,0.2,0.09526941182463754,0.062492184073459245
Jawa,6,1,0.16666666666666666,0.062384679552587724,0.1199056437026146
Sumatra,10,1,0.1,0.05277810062197873,0.06532793362034915
Sulawesi,6,0,0.0,0.02899448877437467,0.0077242182462895
Bali-Nusa,3,0,0.0,0.009262670504217693,0.0032827878400583
